speaker,speaker_id,コンテンツ数
ティナ・シーリグ,1,1
スパソーン・スワジャナコーン,2,1
ポピー・クラム,3,1
イングリッド・フェテル・リー,4,1
シモーン・イェッツ,5,1
レベッカ・クラインバーガー,6,1
スティーブン・ピンカー,7,1
ディラン・マロン,8,1
グウィン・ショットウェル,9,1
レラ・ボロディツキー,10,1
エリカ・ストーン,11,1
ヴィットリオ・ロレート,12,1
ハディ・エルデベック,13,1
レイモンド・タン,14,1
イロナ・シュテンゲル,15,1
ジェイソン・シェン,16,1
トーニャ・メノン,17,1
レイラ・タカヤマ,18,1
石井菜穂子,19,1
マリリー・オペッゾ,20,1
ラナ・マザラ,21,1
ヘザー・ラニエ,22,1
アンナ・ロスリング・ロンランド,23,1
ダオ・グエン,24,1
ジャスティン・バルドーニ,25,1
ラヴィー・アジャイ,26,1
ローレン・サラン,27,1
ジーナップ・トゥフェックチー,28,2
マイク・キニー,29,1
クリス・シェルドリック,30,1
クリスティン・ポイナー,31,1
ポール・トラズナー,32,1
エリフ・シャファク,33,2
ニッキー・ウェバー・アレン,34,1
ヘレン・ピアソン,35,1
ユナ・リー,36,1
サラ・デウィット,37,1
アナ・ヘリンガー,38,1
フリオ・ヒル,39,1
メイ・リン・ネオ,40,1
アニンディヤ・クンドゥ,41,1
カロリーナ・コルッポー,42,1
ラディカ・ナグパール,43,1
オーギー・ピカード,44,1
エミリー・エスファハニ・スミス,45,1
アレキサンダー・ワグナー,46,1
ベンジャミン・グラント,47,1
ダーン・ローゼハーデ,48,1
ジェニファー・グラニック,49,1
新井紀子,50,1
ロビン・ハンソン,51,1
キャシー・オニール,52,1
レイ・ダリオ,53,1
スーザン・ピンカー,54,1
リチャード・J・ベリー,55,1
ピーター・カルソープ,56,1
ジャック・コンティ,57,1
マヌーシュ・ゾモロディ,58,1
アン・マデン,59,1
アンジャン・チャタジー,60,1
トム・グルーバー,61,1
ジョセフ・レドモン,62,1
フランソワーズ・ムーリー,63,1
マーク・レイバート,64,1
クリステン・マーハバー,65,2
デイヴィッド・バロン,66,1
グレース・キム,67,1
アダム・オルター,68,1
アナブ・ジェイン,69,1
アニル・セス,70,1
リチャード・ブラウニング,71,1
ティム・フェリス,72,2
アン・ラモット,73,1
メディ・オディカニ＝セイドラー,74,1
ジャスティン・デイビッドソン,75,1
マイケル・パトリック・リンチ,76,1
マイケル・ビェルート,77,1
ガルリ・カスパロフ,78,1
OK Go,79,1
ルトガー・ブレグマン,80,1
ウェンディ・トロクセル,81,1
ルーシー・カラニシ,82,1
ロバート・サポルスキー,83,1
カリーム・アブルナガ,84,1
サング・デリ,85,2
ローラ・ガランテ,86,1
アントニー・D・ロメロ,87,1
イーロン・マスク,88,2
リサ・ジェノヴァ,89,1
デイビッド・カサレット,90,1
シアマク・ハリリ,91,1
ジョナサン・マークス,92,1
アリ・ワラック,93,1
ジョージア・ルピ,94,1
ケイティ・バウマン,95,1
ケイシー・ブラウン,96,1
マイケル・ボッティチェリ,97,1
アシュトン・コーファー,98,1
モナ・チャラビ,99,1
ダン・ベル,100,1
ジョン･ケーニック,101,1
ジュード・ケリー,102,1
キャロライン・ポール,103,1
キャシー・ハル,104,1
ラックス・ナラヤン,105,1
ジェフ・キルシュナー,106,1
アニー・リュー,107,1
ジョナサン・ロシター,108,1
グラディ・ブーチ,109,1
ロドリーゴ・イ・ガブリエーラ,110,1
ララ・セトラキアン,111,1
ジェフ・スペック,112,2
モーリス・コンティ,113,1
スー・クレボルド,114,1
エドアルド・ブリセーニョ,115,1
アラン・スミス,116,1
ディーピカ・クルップ,117,1
ケイレブ・バーロウ,118,1
ジーニー・ギャング,119,1
ロブ・ウィラー,120,1
エミリー・パーソンズ=ロード,121,1
ダン・ブリックリン,122,1
ジョージ・トレウスキ,123,1
サム・カス,124,1
デイヴィッド・オートー,125,1
ローラ・ヴァンダーカム,126,1
マンディ・レン・カトロン,127,2
エリカ・グレゴリー,128,1
アダム・グラント,129,2
シャロン・ブロウス,130,1
ジェームズ・ビーチャム,131,1
ジェン・ブレア,132,1
レベッカ・ブラックマン,133,1
エリザベス・レッサー,134,2
ジャ・ジャン,135,1
ナタリー・パネク,136,1
ケイト・アダムス,137,1
ダニー・ドーリング,138,1
ジョー・ラシター,139,1
アダム・ガリンスキー,140,1
フアン・エンリケス,141,5
ロジャー・アントンセン,142,1
ヴィクター・リオス,143,1
スティーヴン・ジョンソン,144,1
ベティーナ・ウォーバーグ,145,1
フォーン・チョウ,146,1
ティム・リーバーレヒト,147,2
マロリー・ソルドナー,148,1
クリストファー・ソゴイアン,149,3
ケリー・ジーン・ドリンクウォーター,150,1
フィリッパ・ニーヴ,151,1
アリッサ・モンクス,152,1
ワニス・カバジ,153,1
ゼイナップ・トゥフェックチー,154,1
レイチェル・ボッツマン,155,3
ジム・ヘマリング,156,1
メリッサ・ウォーカー,157,1
ピコ・アイヤー,158,3
レイン・ウィルソン,159,1
ジョン・マクウォーター,160,1
アイザック・リッズキー,161,1
アダム・デ・ラ・ゼルダ,162,1
エレン・ヨルゲンセン,163,2
カミーユ・A・ブラウン,164,1
ヘレン・フィッシャー,165,3
サム・ハリス,166,2
オーデッド・ショゼヨフ,167,1
J・D・ヴァンス,168,1
レベッカ・マッキノン,169,2
セバスチャン・クレイベス,170,1
ナディア・ロペス,171,1
デビッド・バーカス,172,1
アビゲイル・マーシュ,173,1
マイケル・マーフィー,174,1
ジュリー・リスコット＝ヘイムス,175,1
ネーハ・ナルラ,176,1
フランツ・フロイデンタール,177,1
コートニー・マーティン,178,2
ジェイムズ・ヴィーチ,179,2
サルマン・カーン,180,2
キオ・スターク,181,1
ドン・タプスコット,182,2
オリヴィエ・スカラブレ,183,1
サラ・パーカック,184,2
ジェームズ・グリーン,185,1
モニカ・アラヤ,186,1
デイヴ・ブレイン,187,1
モリー・ウィンター,188,1
マーティン・リーブス,189,1
アンソニー・ゴールドブルーム,190,1
スザンヌ・シマード,191,1
エド・ボイデン,192,2
ジェラード・ライル,193,1
エル・シード,194,2
リサ・ダイソン,195,1
アダム・サヴェッジ,196,2
シュベンデュ・シャルマ,197,2
エマ・マリス,198,1
エリック・ヘイゼルティン,199,1
レイラ・ホテイト,200,1
エリーズ・ロイ,201,1
アレクサンダー・ベッツ,202,2
ジョン・レジェンド,203,2
プロサンタ・チャクラバーティ,204,1
ジュリア・ゲレフ,205,1
ブレイス・アグエラ・ヤルカス,206,2
トム・ヒューム,207,1
シーマ・バンスール,208,1
ブライアン･リトル,209,1
ジル・ヒックス,210,1
